UBINumber,BusinessDbaName,EffectiveDate,ExpirationDate,Address1,City,State,Zip,ViolationNo,ViolationType,ViolationDate
604 722 583,CLEANING SERVICES USA LLC,04/28/2021,04/28/2023,2038 155TH PL NE APT A236,BELLEVUE,WA,98007,,,
603 056 201,DUCT CLEANING SERVICES,10/20/2010,10/20/2020,3126 SW 342nd ST,FEDERAL WAY,WA,98023,,,
602 965 060,JUDAH CLEANING SERVICE,12/11/2009,12/11/2023,2408 W Lynnwood Dr,LONGVIEW,WA,98632,,,
604 078 288,AAA CLEANING SERVICES LLC,03/31/2017,03/31/2019,3800 W Bridgeport Way Ste A,TACOMA,WA,98466,,,
602 051 803,A1 CLEANING SERVICES INC,03/23/2011,03/23/2019,5215 EAST UPRIVER DR,SPOKANE,WA,99217,,,
603 165 835,ABA CLEANING SERVICES LLC,06/07/2013,06/08/2025,6108 E Portland Ave,TACOMA,WA,98404,,,
603 333 640,ABSOLUTE CLEANING SERVICES,09/17/2013,12/30/2021,2406 NE 139TH ST #S-160,VANCOUVER,WA,98686,,,
604 951 829,ABLE CLEANING SERVICES,08/04/2022,08/04/2024,1033 EAST JUNE DRIVE,MOSES LAKE,WA,98837,,,
,DAILY CLEANING SERVICES,,,,PASCO,WA,,NSAYB00731,CONSTRUCTION INFRACTION,08/25/2022
604 965 627,Cendys Cleaning Services LLC,01/04/2023,01/04/2025,171 Stark Rd,YAKIMA,WA,98908,,,
603 529 136,Champion Cleaning Services LLC,09/11/2015,03/02/2024,8934 ALYSON LANE SOUTHWEST,ROCHESTER,WA,98579,,,
603 591 586,GREYLU CLEANING SERVICES,03/24/2016,03/24/2018,PO BOX 65505,BURIEN,WA,98166,,,
,NED STEVENS CLEANING SERVICES OF WA LLC,,,,FAIRFIELD,WA,,NSACE00940,CONSTRUCTION INFRACTION,07/30/2020
,FRONTLINE CLEANING SERVICES,,,,BURLINGTON,WA,,NBUJD00819,CONSTRUCTION INFRACTION,08/19/2019
602 040 772,ACTION CLEANING SERVICES,01/19/2016,03/11/2024,2009 Iron Street,BELLINGHAM,WA,98225,,,
604 072 265,Boss Cleaning Services LLC,08/16/2017,08/16/2019,PO Box 936,BATTLE GROUND,WA,98604,,,
603 254 748,BLAST CLEANING SERVICES INC,05/02/2019,03/30/2024,PO BOX 1489,SHERWOOD,OR,97140,,,
604 319 165,BRAVOS CLEANING SERVICES LLC,09/12/2018,09/12/2020,4205 AUBURN WAY S,AUBURN,WA,98092,,,
604 039 124,RIVERSIDE CLEANING SERVICES,09/19/2016,09/19/2018,913 E 10TH AVE,KENNEWICK,WA,99336,,,
604 939 741,GENESIS CLEANING SERVICES,04/12/2023,04/12/2025,6535 S L ST,TACOMA,WA,98408,,,
603 214 762,BARROS CLEANING SERVICES,05/07/2013,09/29/2023,18019 32ND AVE SE,Bothell,WA,98012,,,
604 919 687,ALJ CLEANING SERVICES LLC,05/23/2023,05/23/2025,2429 SW HOLDEN ST,SEATTLE,WA,98106,,,
603 158 072,Agustina's Cleaning Services,03/17/2015,03/17/2017,22823 92nd Ave S Apt. N103,KENT,WA,98031,,,
600 242 349,AMERICAN CLEANING SERVICES INC,07/14/1978,12/03/2024,1210 E ISAACS,WALLA WALLA,WA,99362,,,
604 544 643,AVALOS CLEANING SERVICES LLC,01/10/2023,01/10/2025,405 STATE AVE,MARYSVILLE,WA,98270,,,
604 098 292,AMY'S CLEANING SERVICES,02/15/2023,02/15/2025,24120 22ND AVE SOUTH,DES MOINES,WA,98198,,,
604 410 493,DEHAVEN CLEANING SERVICES LLC,07/09/2019,07/09/2021,325 WASHINGTON AVE S #163,KENT,WA,98032,,,
600 277 244,COMMERCIAL CLEANING SERVICES,08/07/1998,07/26/2021,PO BOX 501,WALLA WALLA,WA,99362,,,
604 827 480,DETAILED CLEANING SERVICES LLC,03/03/2022,03/03/2024,3806 N Belmont Rd,COEUR D ALENE,ID,83815,,,
602 641 157,DIANA'S CLEANING SERVICES,07/28/2014,02/11/2023,33 116TH PL SE # A,EVERETT,WA,98208,,,
604 100 549,EXPERT CLEANING SERVICES,03/13/2018,03/13/2020,14213 SE 281ST PLACE,KENT,WA,98042,,,
602 872 898,DAYAS CLEANING SERVICES,12/07/2017,12/07/2019,1224 195TH ST E,SPANAWAY,WA,98387,,,
603 297 447,COURTESY CLEANING SERVICES LLC,03/13/2014,03/13/2024,5904 S TORO RD,KENNEWICK,WA,99338,,,
603 468 267,D&G PNTG & CLEANING SERVICES,08/14/2015,08/14/2021,22221 75TH ST E,BUCKLEY,WA,98321,,,
